StudentID,Gender,QuestionsSolved,Assessment Score,Attendance,HackathonsParticipated,CGPA,Grading,Score
2301921520001,Male,628,59.83372280785471,10,2,7.929195591667681,Excellent,192.20850802569177
2301921520002,Female,597,42.40875605584674,63,1,8.042914833436377,Excellent,208.2084564836268
2301921520003,Male,631,27.210569768812263,66,2,5.112602254466181,Excellent,107.288375439576
2301921520004,Female,490,15.028829473958211,54,3,7.054218139702948,Excellent,158.01708512159337
2301921520005,Male,591,13.672495272971332,72,3,6.288061181795388,Excellent,240.1778709454821
2301921520006,Female,460,33.191218545250194,9,1,8.084183614486394,Excellent,261.02573279254784
2301921520007,Male,500,16.601680474699293,68,3,7.748237414891583,Excellent,140.27697897219295
2301921520008,Female,549,49.42449630580808,84,1,6.360142712316461,Excellent,263.64763431637533
2301921520009,Male,599,18.562007558047696,15,2,7.896819189513569,Excellent,319.5622406464414
2301921520010,Female,616,31.44446636309721,7,3,9.173474210329765,Excellent,326.28028832958864
2301921520011,Male,525,27.851363655296552,64,1,7.147171625018514,Excellent,121.549752346626
2301921520012,Female,581,19.59848581924029,79,2,6.559594519040277,Excellent,205.1987347838526
2301921520013,Male,505,73.03871161561722,22,3,6.520077814874808,Excellent,138.6517691144348
2301921520014,Female,534,17.101425068754878,35,4,6.751580958334079,Excellent,304.33358943729456
2301921520015,Male,481,38.197810636915705,20,2,7.396788117124796,Excellent,112.55291942532428
2301921520016,Female,661,18.728100710723567,47,0,6.341520716534667,Excellent,187.3014716462864
2301921520017,Male,560,19.09865608178802,26,2,7.232175277715976,Average,68.79394737996836
2301921520018,Female,541,13.528238208557724,54,2,6.3844041756940335,Excellent,189.5272798139553
2301921520019,Male,592,13.25465808609357,76,2,5.469553323379871,Excellent,255.1155040725878
2301921520020,Female,666,35.835206398820304,50,2,7.3957840945307005,Excellent,319.34213010870747
2301921520021,Male,650,11.621597234094054,21,3,7.778411299920653,Excellent,325.1433017700695
2301921520022,Female,593,55.32314203165557,80,1,5.346894036705015,Excellent,316.1907306829067
2301921520023,Male,572,54.64887956754701,52,1,5.312546230525355,Excellent,165.8197563313148
2301921520024,Female,569,60.94613798473924,23,2,6.770131876779973,Excellent,275.82410514898174
2301921520025,Male,626,20.38035464822346,72,2,6.505155622036286,Excellent,327.1244176385396
